time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
4.333,0.015806952491402626,0.49728,0.26221,0.07485,-0.06063,-0.12778,-0.05018,0.99714,-0.03184,-0.06304,-0.02696
4.4,0.015806952491402626,0.49728,0.26221,0.07485,-0.06061,-0.12778,-0.05018,0.99714,-0.03183,-0.06304,-0.02696
4.467,0.015806952491402626,0.49728,0.26221,0.07485,-0.06063,-0.12778,-0.05018,0.99714,-0.03184,-0.06304,-0.02696
4.533,0.015806952491402626,0.49728,0.26221,0.07485,-0.06063,-0.12778,-0.05018,0.99714,-0.03184,-0.06304,-0.02696
4.6,0.015806952491402626,0.49728,0.26221,0.07485,-0.06061,-0.12778,-0.05018,0.99714,-0.03183,-0.06304,-0.02696
4.667,0.015806952491402626,0.49727,0.26221,0.07484,-0.06061,-0.1278,-0.05018,0.99714,-0.03183,-0.06305,-0.02696
4.733,0.015806952491402626,0.49727,0.26221,0.07485,-0.06063,-0.12778,-0.05018,0.99714,-0.03184,-0.06304,-0.02696
4.8,0.015806952491402626,0.49727,0.26221,0.07484,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
4.867,0.015806952491402626,0.49728,0.26221,0.07485,-0.06063,-0.12778,-0.05018,0.99714,-0.03184,-0.06304,-0.02696
4.933,0.01580728031694889,0.49727,0.26221,0.07484,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
5.0,0.01580728031694889,0.49727,0.26221,0.07485,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
5.067,0.01580728031694889,0.49727,0.26221,0.07484,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
5.133,0.01580728031694889,0.49727,0.26221,0.07485,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
5.2,0.01580728031694889,0.49727,0.26221,0.07484,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
5.267,0.01580728031694889,0.49727,0.26221,0.07484,-0.06061,-0.1278,-0.05018,0.99714,-0.03183,-0.06305,-0.02696
5.333,0.01580728031694889,0.49727,0.26221,0.07484,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
5.4,0.01580728031694889,0.49727,0.26221,0.07484,-0.06061,-0.1278,-0.05018,0.99714,-0.03183,-0.06305,-0.02696
5.467,0.01580728031694889,0.49727,0.26221,0.07484,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
5.533,0.01580728031694889,0.49727,0.26221,0.07485,-0.06061,-0.1278,-0.05018,0.99714,-0.03183,-0.06305,-0.02696
5.6,0.01580728031694889,0.49727,0.2622,0.07484,-0.06063,-0.1278,-0.05018,0.99714,-0.03184,-0.06305,-0.02696
5.667,0.01580728031694889,0.49726,0.26221,0.07484,-0.06061,-0.12782,-0.05018,0.99714,-0.03183,-0.06306,-0.02696
5.733,0.01431894488632679,0.49727,0.2622,0.07484,-0.06063,-0.12782,-0.05016,0.99714,-0.03184,-0.06306,-0.02695
5.8,0.01431894488632679,0.49726,0.26222,0.07484,-0.06061,-0.12782,-0.05018,0.99714,-0.03183,-0.06306,-0.02696
5.867,0.012644773349165916,0.49726,0.2622,0.07484,-0.06063,-0.12782,-0.05016,0.99714,-0.03184,-0.06306,-0.02695
